sneakers_ref,img_url2,title,color,brand,img_url
SX6076-100,https://www.solekitchen.de/media/image/70/49/1d/SX6076-100-nike-jordan-2-crew-white-1595384ab4792b_225x215.jpg,Jordan 2 Crew Sock - White,white,Nike Air Jordan,https://www.solekitchen.de/media/image/f3/d3/fd/SX6076-100-nike-jordan-2-crew-white-1595384ab4792b_470x449.jpg
554724-061,https://www.solekitchen.de/media/image/6a/b9/db/nike-554724-061-air-jordan-1-mid-infrared-01_225x215.jpg,Air Jordan 1 Mid - Infrared,red,Nike Air Jordan,https://www.solekitchen.de/media/image/e6/04/cf/nike-554724-061-air-jordan-1-mid-infrared-01_470x449.jpg
940170-396,https://www.solekitchen.de/media/image/ce/1c/8c/nike-940170-396-jordan-jumpman-basic-crew-olive-01_225x215.jpg,Jumpman Basic Crew - Olive,green,Nike Air Jordan,https://www.solekitchen.de/media/image/d1/6f/90/nike-940170-396-jordan-jumpman-basic-crew-olive-01_470x449.jpg
852542-301,https://www.solekitchen.de/media/image/60/d8/99/nike-852542-301-air-jordan-1-mid-pine-green-00_225x215.jpg,Air Jordan 1 Mid SE - Pine Green,green,Nike Air Jordan,https://www.solekitchen.de/media/image/cd/35/41/nike-852542-301-air-jordan-1-mid-pine-green-00_470x449.jpg
899657-100,https://www.solekitchen.de/media/image/8b/d3/28/899657-100-nike-jordan-classic99-metal-jumpman-white-01_225x215.jpg,Jordan Classic 99 Metal Jumpman - White,white,Nike Air Jordan,https://www.solekitchen.de/media/image/c4/f7/18/899657-100-nike-jordan-classic99-metal-jumpman-white-01_470x449.jpg
AV3922-001,https://www.solekitchen.de/media/image/ff/f0/a4/nike-AV3922-001-jordan-legacy-312-black-01_225x215.jpg,Air Jordan Legacy 312 - Black White,black,Nike Air Jordan,https://www.solekitchen.de/media/image/b9/1b/74/nike-AV3922-001-jordan-legacy-312-black-01_470x449.jpg
315371-006,https://www.solekitchen.de/media/image/6f/30/10/nike-315371-006-jordan-spizike-black-red-01_225x215.jpg,Jordan Spizike - Black,black,Nike Air Jordan,https://www.solekitchen.de/media/image/b6/d7/e6/nike-315371-006-jordan-spizike-black-red-01_470x449.jpg
AT4040-157,https://www.solekitchen.de/media/image/cd/88/ee/nike-AT4040-157-air-jordan-lagacy-312-gs-white-purple-yellow-01_225x215.jpg,Air Jordan Legacy 312 GS - White Purple,white,Nike Air Jordan,https://www.solekitchen.de/media/image/b2/4a/57/nike-AT4040-157-air-jordan-lagacy-312-gs-white-purple-yellow-01_470x449.jpg
SX6076-010,https://www.solekitchen.de/media/image/c4/a2/83/SX6076-010-nike-jordan-2-crew-black-red-1_225x215.jpg,Jordan 2 Crew Sock - Black,black,Nike Air Jordan,https://www.solekitchen.de/media/image/ae/0c/95/SX6076-010-nike-jordan-2-crew-black-red-1_470x449.jpg
AT0575-600,https://www.solekitchen.de/media/image/0b/52/8f/nike-AT0575-600-air-jordan-1-hi-zip-womens-bordeaux-01_225x215.jpg,Air Jordan 1 High Zip Premium Womens - Bordeaux,red,Nike Air Jordan,https://www.solekitchen.de/media/image/a0/7f/be/nike-AT0575-600-air-jordan-1-hi-zip-womens-bordeaux-01_470x449.jpg
