"sneakers_ref","img_url2","title","color","brand","img_url"
"CQ2045","http://images.hhv.de/catalog/new_shop_186x186/00550/550485.jpg","Campus","NOBLE INK / NOBLE INDIGO / GOLD METALLIC","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550485.jpg"
"CQ2046","http://images.hhv.de/catalog/new_shop_186x186/00550/550486.jpg","Campus","MESA / MESA / CORE WHITE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550486.jpg"
"DA8786","http://images.hhv.de/catalog/new_shop_186x186/00550/550495.jpg","Lacombe SPZL","CORE WHITE / CORE WHITE / METALLIC OLD","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550495.jpg"
"CM8094","http://images.hhv.de/catalog/new_shop_186x186/00550/550498.jpg","Twinstrike ADV","OFF WHITE / GREY THREE / CLEAR GREEN","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550498.jpg"
"CQ2650","http://images.hhv.de/catalog/new_shop_186x186/00550/550503.jpg","Stan Smith Primeknit","FOOTWEAR WHITE / FOOTWEAR WHITE / CORE WHITE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550503.jpg"
"CQ3039","http://images.hhv.de/catalog/new_shop_186x186/00550/550515.jpg","Haven","CORE WHITE / TRACE ORANGE / OFF WHITE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550515.jpg"
"CQ2563","http://images.hhv.de/catalog/new_shop_186x186/00550/550519.jpg","Court Vantage","BLUE / BLUE / BLUE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550519.jpg"
"CQ2564","http://images.hhv.de/catalog/new_shop_186x186/00550/550520.jpg","Court Vantage","CLEAR BROWN / CLEAR BROWN / CLEAR BROWN","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550520.jpg"
"CQ2759","http://images.hhv.de/catalog/new_shop_186x186/00550/550522.jpg","Liga","VINTAGE WHITE / COLLEGIATE NAVY / CLEAR SKY","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550522.jpg"
"CQ2082","http://images.hhv.de/catalog/new_shop_186x186/00550/550525.jpg","Campus W","PYRITE / FOOTWEAR WHITE / CORE WHITE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550525.jpg"
"CQ2104","http://images.hhv.de/catalog/new_shop_186x186/00550/550536.jpg","Campus W","CORE WHITE / FOOTWEAR WHITE / GOLD METALLIC","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550536.jpg"
"CQ2898","http://images.hhv.de/catalog/new_shop_186x186/00550/550537.jpg","Stan Smith Nuud W","ASH PEARL / ASH PEARL / LEGEND INK","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550537.jpg"
"BB6709","http://images.hhv.de/catalog/new_shop_186x186/00550/550539.jpg","Gazelle Stitch And Turn W","GREY TWO / GREY TWO / FOOTWEAR WHITE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550539.jpg"
"CQ2523","http://images.hhv.de/catalog/new_shop_186x186/00550/550541.jpg","Haven W","CRYSTAL WHITE / CRYSTAL WHITE / GREY TWO","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550541.jpg"
"CQ2418","http://images.hhv.de/catalog/new_shop_186x186/00550/550557.jpg","EQT Support RF","BASE GREEN / NIGHT CARGO / CORE BLACK","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550557.jpg"
"B22681","http://images.hhv.de/catalog/new_shop_186x186/00550/550560.jpg","Prophere","CORE BLACK / FOOTWEAR WHITE / CORE BLACK","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550560.jpg"
"CQ2889","http://images.hhv.de/catalog/new_shop_186x186/00550/550563.jpg","Swift Run Primeknit","CORE BLACK / GREY FIVE / MEDIUM GREY HEATHER","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550563.jpg"
"CQ2891","http://images.hhv.de/catalog/new_shop_186x186/00550/550567.jpg","Swift Run Primeknit","CORE BLACK / OFF WHITE / FOOTWEAR WHITE","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550567.jpg"
"CQ2035","http://images.hhv.de/catalog/new_shop_186x186/00550/550572.jpg","Swift Run Primeknit W","RED NIGHT / FOOTWEAR WHITE / CORE BLACK","adidas","http://images.hhv.de/catalog/shop_detail_zoom/00550/550572.jpg"
"875844-403","http://images.hhv.de/catalog/new_shop_186x186/00551/551875.jpg","Air Max 1 Premium","NAVY / GYM RED / VIVID SULFUR / WHITE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00551/551875.jpg"
"917682-007","http://images.hhv.de/catalog/new_shop_186x186/00551/551879.jpg","WMNS Dualtone Racer","VAST GREY / ATMOSPHERE GREY / GUNSMOKE / WHITE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00551/551879.jpg"
"918206-302","http://images.hhv.de/catalog/new_shop_186x186/00551/551880.jpg","Air Vortex Leather","SEQUOIA / NEUTRAL OLIVE / SUMMIT WHITE","Nike","http://images.hhv.de/catalog/shop_detail_zoom/00551/551880.jpg"
